Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
C14orf28	q21.2	Plus	chr14	44897295	44907257	Protein coding	Chromosome 14 Open Reading Frame 28
C14orf37	q23.1	Minus	chr14	57999735	58298139	Protein coding	Chromosome 14 Open Reading Frame 37
C14orf39	q23.1	Minus	chr14	60396469	60515543	Protein coding	Chromosome 14 Open Reading Frame 39
C14orf93	q11.2	Minus	chr14	22985908	23010166	Protein coding	Chromosome 14 Open Reading Frame 93
C15orf32	q26.1	Plus	chr15	92471654	92501117	Non-protein coding RNA	Chromosome 15 Open Reading Frame 32
C15orf38-AP3S2	q26.1	Minus	chr15	89834308	89912882	Protein coding	C15orf38-AP3S2 Readthrough
C15orf39	q24.2	Plus	chr15	75195643	75212169	Protein coding	Chromosome 15 Open Reading Frame 39
C15orf40	q25.2	Minus	chr15	82988441	83011641	Protein coding	Chromosome 15 Open Reading Frame 40
C15orf41	q14	Plus	chr15	36579611	36810248	Protein coding	Chromosome 15 Open Reading Frame 41
C15orf48	q21.1	Plus	chr15	45430529	45448761	Protein coding	Chromosome 15 Open Reading Frame 48
C15orf53	q14	Plus	chr15	38628005	39180499	Protein coding	Chromosome 15 Open Reading Frame 53
C15orf54	q14	Plus	chr15	39250684	39254845	Non-protein coding RNA	Chromosome 15 Open Reading Frame 54 (putative)
C15orf56	q15.1	Minus	chr15	40250664	40252969	Non-protein coding RNA	Chromosome 15 Open Reading Frame 56
C15orf59	q24.1	Minus	chr15	73735431	73752747	Protein coding	Chromosome 15 Open Reading Frame 59
C15orf59-AS1	q24.1	Plus	chr15	73752317	73770613	Non-protein coding RNA	C15orf59 Antisense RNA 1
C15orf61	q23	Plus	chr15	67521068	67530143	Protein coding	Chromosome 15 Open Reading Frame 61
C15orf62	q15.1	Plus	chr15	40770080	40772449	Protein coding	Chromosome 15 Open Reading Frame 62
C15orf65	q21.3	Plus	chr15	55408548	55418764	Protein coding	Chromosome 15 Open Reading Frame 65
C16orf45	p13.11	Plus	chr16	15434295	15625028	Protein coding	Chromosome 16 Open Reading Frame 45
C16orf46	q23.2	Minus	chr16	81053497	81077267	Protein coding	Chromosome 16 Open Reading Frame 46
C16orf54	p11.2	Minus	chr16	29742463	29746006	Protein coding	Chromosome 16 Open Reading Frame 54
C16orf58	p11.2	Minus	chr16	31489471	31509309	Protein coding	Chromosome 16 Open Reading Frame 58
C16orf70	q22.1	Plus	chr16	67109958	67148539	Protein coding	Chromosome 16 Open Reading Frame 70
C16orf71	p13.3	Plus	chr16	4734272	4749396	Protein coding	Chromosome 16 Open Reading Frame 71
C16orf72	p13.2	Plus	chr16	9091648	9121640	Protein coding	Chromosome 16 Open Reading Frame 72
C16orf74	q24.1	Minus	chr16	85690084	85751129	Protein coding	Chromosome 16 Open Reading Frame 74
C16orf78	q12.1	Plus	chr16	49373823	49399431	Protein coding	Chromosome 16 Open Reading Frame 78
C16orf82	p12.1	Plus	chr16	27066707	27069165	Non-protein coding RNA	Chromosome 16 Open Reading Frame 82
C16orf86	q22.1	Plus	chr16	67666816	67668758	Protein coding	Chromosome 16 Open Reading Frame 86
C16orf87	q11.2	Minus	chr16	46796607	46831411	Protein coding	Chromosome 16 Open Reading Frame 87
C16orf89	p13.3	Minus	chr16	5044122	5066110	Protein coding	Chromosome 16 Open Reading Frame 89
C16orf90	p13.3	Minus	chr16	3493484	3495480	Protein coding	Chromosome 16 Open Reading Frame 90
C16orf91	p13.3	Minus	chr16	1419744	1420800	Protein coding	Chromosome 16 Open Reading Frame 91
C16orf92	p11.2	Plus	chr16	30023334	30027736	Protein coding	Chromosome 16 Open Reading Frame 92
C16orf95	q24.2	Minus	chr16	87083562	87317420	Protein coding	Chromosome 16 Open Reading Frame 95
C16orf96	p13.3	Plus	chr16	4556490	4600714	Protein coding	Chromosome 16 Open Reading Frame 96
C16orf97	q12.1	Minus	chr16	52005487	52078474	Non-protein coding RNA	Chromosome 16 Open Reading Frame 97
C17orf100	p13.1	Plus	chr17	6651718	6693202	Protein coding	Chromosome 17 Open Reading Frame 100
C17orf102	q12	Minus	chr17	34574123	34579369	Non-protein coding RNA	Chromosome 17 Open Reading Frame 102
C17orf107	p13.2	Plus	chr17	4899418	4902932	Protein coding	Chromosome 17 Open Reading Frame 107
C17orf112	q22	Plus	chr17	52985520	52987652	Non-protein coding RNA	Chromosome 17 Open Reading Frame 112
C17orf113	q21.2	Minus	chr17	42038232	42050614	Protein coding	Chromosome 17 Open Reading Frame 113
C17orf47	q22	Minus	chr17	58541587	58544368	Protein coding	Chromosome 17 Open Reading Frame 47
C17orf49	p13.1	Plus	chr17	7014495	7017525	Protein coding	Chromosome 17 Open Reading Frame 49
C17orf50	q12	Plus	chr17	35760897	35765079	Protein coding	Chromosome 17 Open Reading Frame 50
C17orf51	p11.2	Minus	chr17	21524790	21574458	Protein coding	Chromosome 17 Open Reading Frame 51
C17orf53	q21.31	Plus	chr17	44141906	44162476	Protein coding	Chromosome 17 Open Reading Frame 53
C17orf58	q24.2	Minus	chr17	67991101	67996431	Protein coding	Chromosome 17 Open Reading Frame 58
C17orf62	q25.3	Minus	chr17	82442589	82450829	Protein coding	Chromosome 17 Open Reading Frame 62
C17orf64	q23.2	Plus	chr17	60392429	60431421	Protein coding	Chromosome 17 Open Reading Frame 64
C17orf67	q22	Minus	chr17	56791913	56838773	Protein coding	Chromosome 17 Open Reading Frame 67
C17orf75	q11.2	Minus	chr17	32324565	32350023	Protein coding	Chromosome 17 Open Reading Frame 75
C17orf77	q25.1	Plus	chr17	74584679	74594209	Non-protein coding RNA	Chromosome 17 Open Reading Frame 77
C17orf78	q12	Plus	chr17	37375986	37392708	Protein coding	Chromosome 17 Open Reading Frame 78
C17orf80	q25.1	Plus	chr17	73232233	73248947	Protein coding	Chromosome 17 Open Reading Frame 80
C17orf82	q23.2	Plus	chr17	61411751	61413280	Non-protein coding RNA	Chromosome 17 Open Reading Frame 82
C17orf97	p13.3	Plus	chr17	410327	431062	Protein coding	Chromosome 17 Open Reading Frame 97
C17orf98	q12	Minus	chr17	38635875	38642242	Protein coding	Chromosome 17 Open Reading Frame 98
C17orf99	q25.3	Plus	chr17	78146353	78166177	Protein coding	Chromosome 17 Open Reading Frame 99
C18orf21	q12.2	Plus	chr18	35972083	35979286	Protein coding	Chromosome 18 Open Reading Frame 21
C18orf25	q21.1	Plus	chr18	46173553	46266991	Protein coding	Chromosome 18 Open Reading Frame 25
C18orf32	q21.1	Minus	chr18	49477250	49487252	Protein coding	Chromosome 18 Open Reading Frame 32
C18orf54	q21.2	Plus	chr18	54357917	54385218	Protein coding	Chromosome 18 Open Reading Frame 54
C18orf63	q22.3	Plus	chr18	74315813	74359187	Protein coding	Chromosome 18 Open Reading Frame 63
C18orf65	q23	Plus	chr18	76495521	76498088	Non-protein coding RNA	Chromosome 18 Open Reading Frame 65
C19orf12	q12	Minus	chr19	29698886	29715789	Protein coding	Chromosome 19 Open Reading Frame 12
C19orf18	q13.43	Minus	chr19	57958437	57974534	Protein coding	Chromosome 19 Open Reading Frame 18
C19orf24	p13.3	Plus	chr19	1275438	1279249	Protein coding	Chromosome 19 Open Reading Frame 24
C19orf25	p13.3	Minus	chr19	1461143	1479556	Protein coding	Chromosome 19 Open Reading Frame 25
C19orf33	q13.2	Plus	chr19	38304161	38305009	Protein coding	Chromosome 19 Open Reading Frame 33
C19orf38	p13.2	Plus	chr19	10836575	10869790	Protein coding	Chromosome 19 Open Reading Frame 38
C19orf44	p13.11	Plus	chr19	16496311	16521352	Protein coding	Chromosome 19 Open Reading Frame 44
C19orf47	q13.2	Minus	chr19	40319536	40348527	Protein coding	Chromosome 19 Open Reading Frame 47
C19orf48	q13.33	Minus	chr19	50797704	50804929	Protein coding	Chromosome 19 Open Reading Frame 48
C19orf53	p13.13	Plus	chr19	13774168	13778462	Protein coding	Chromosome 19 Open Reading Frame 53
C19orf54	q13.2	Minus	chr19	40740856	40751553	Protein coding	Chromosome 19 Open Reading Frame 54
C19orf57	p13.12	Minus	chr19	13882348	13906452	Protein coding	Chromosome 19 Open Reading Frame 57
C19orf66	p13.2	Plus	chr19	10086122	10093252	Protein coding	Chromosome 19 Open Reading Frame 66
C19orf67	p13.12	Minus	chr19	14081619	14085875	Protein coding	Chromosome 19 Open Reading Frame 67
C19orf70	p13.3	Minus	chr19	5678421	5680896	Protein coding	Chromosome 19 Open Reading Frame 70
C19orf71	p13.3	Plus	chr19	3539154	3544030	Protein coding	Chromosome 19 Open Reading Frame 71
C19orf73	q13.33	Minus	chr19	49118397	49119140	Protein coding	Chromosome 19 Open Reading Frame 73
C19orf81	q13.33	Plus	chr19	50649445	50659310	Protein coding	Chromosome 19 Open Reading Frame 81
C19orf84	q13.41	Minus	chr19	51388289	51390574	Protein coding	Chromosome 19 Open Reading Frame 84
C19orf85	q13.42	Minus	chr19	55463002	55464707	Protein coding	Chromosome 19 Open Reading Frame 85
C1D	p14	Minus	chr2	68041130	68110948	Protein coding	C1D Nuclear Receptor Corepressor
C1DP1	p11.22	Minus	chr10	32511336	32511737	Pseudogene	C1D Nuclear Receptor Corepressor Pseudogene 1
C1DP2	q22.3	Minus	chr10	80031968	80032393	Pseudogene	C1D Nuclear Receptor Corepressor Pseudogene 2
C1DP3	q22.3	Minus	chr10	80024737	80025159	Pseudogene	C1D Nuclear Receptor Corepressor Pseudogene 3
C1DP4	q22.3	Minus	chr10	80040621	80041044	Pseudogene	C1D Nuclear Receptor Corepressor Pseudogene 4
C1DP5	q14.1	Minus	chr11	83111060	83111442	Pseudogene	C1D Nuclear Receptor Corepressor Pseudogene 5
C1GALT1	p22.1	Plus	chr7	7156934	7248651	Protein coding	Core 1 Synthase, Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
C1GALT1C1	q24	Minus	chrX	120625793	120630150	Protein coding	C1GALT1 Specific Chaperone 1
C1GALT1C1L	p21	Minus	chr2	43675151	43676322	Protein coding	C1GALT1-specific Chaperone 1 Like
C1GALT1P1	q15	Plus	chr12	69284397	69285485	Pseudogene	Core 1 Synthase, Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 Pseudogene 1
C1GALT1P2	q11.2	Plus	chr5	56192530	56193633	Pseudogene	Core 1 Synthase, Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 Pseudogene 2
C1GALT1P3	q12.3	Minus	chr8	61909984	61910802	Pseudogene	Core 1 Synthase, Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 Pseudogene 3
C1orf100	q44	Plus	chr1	244352635	244389663	Protein coding	Chromosome 1 Open Reading Frame 100
C1orf105	q24.3	Plus	chr1	172420688	172468831	Protein coding	Chromosome 1 Open Reading Frame 105
C1orf109	p34.3	Minus	chr1	37681570	37692249	Protein coding	Chromosome 1 Open Reading Frame 109
C1orf112	q24.2	Plus	chr1	169662007	169854080	Protein coding	Chromosome 1 Open Reading Frame 112
C1orf115	q41	Plus	chr1	220689845	220699157	Protein coding	Chromosome 1 Open Reading Frame 115
C1orf116	q32.1	Minus	chr1	207018521	207032756	Protein coding	Chromosome 1 Open Reading Frame 116
C1orf122	p34.3	Plus	chr1	37806979	37809454	Protein coding	Chromosome 1 Open Reading Frame 122
C1orf123	p32.3	Minus	chr1	53214099	53220617	Protein coding	Chromosome 1 Open Reading Frame 123
C1orf127	p36.22	Minus	chr1	10946471	10982037	Protein coding	Chromosome 1 Open Reading Frame 127
C1orf131	q42.2	Minus	chr1	231223763	231241187	Protein coding	Chromosome 1 Open Reading Frame 131
C1orf137	p13.1	Plus	chr1	116694112	116706603	Non-protein coding RNA	Chromosome 1 Open Reading Frame 137 (putative)
C1orf141	p31.3	Minus	chr1	67092165	67231853	Protein coding	Chromosome 1 Open Reading Frame 141
C1orf143	q41	Plus	chr1	218510096	218525978	Non-protein coding RNA	Chromosome 1 Open Reading Frame 143 (putative)
C1orf146	p22.1	Plus	chr1	92217940	92245813	Protein coding	Chromosome 1 Open Reading Frame 146
C1orf147	q32.1	Minus	chr1	206491116	206497728	Non-protein coding RNA	Chromosome 1 Open Reading Frame 147
C1orf158	p36.21	Plus	chr1	12746215	12763699	Protein coding	Chromosome 1 Open Reading Frame 158
C1orf159	p36.33	Minus	chr1	1081818	1116361	Protein coding	Chromosome 1 Open Reading Frame 159
C1orf162	p13.2	Plus	chr1	111473792	111478512	Protein coding	Chromosome 1 Open Reading Frame 162
C1orf167	p36.22	Plus	chr1	11761787	11789585	Protein coding	Chromosome 1 Open Reading Frame 167
C1orf174	p36.32	Minus	chr1	3889125	3900293	Protein coding	Chromosome 1 Open Reading Frame 174
C1orf185	p32.3	Plus	chr1	51102234	51148086	Protein coding	Chromosome 1 Open Reading Frame 185
C1orf189	q21.3	Minus	chr1	154199372	154206333	Protein coding	Chromosome 1 Open Reading Frame 189
C1orf194	p13.3	Minus	chr1	109105951	109113857	Protein coding	Chromosome 1 Open Reading Frame 194
C1orf195	p36.21	Minus	chr1	15164344	15171317	Non-protein coding RNA	Chromosome 1 Open Reading Frame 195
C1orf198	q42.2	Minus	chr1	230837119	230869589	Protein coding	Chromosome 1 Open Reading Frame 198
C1orf21	q25.3	Plus	chr1	184387058	184629020	Protein coding	Chromosome 1 Open Reading Frame 21
C1orf210	p34.2	Minus	chr1	43281883	43285617	Protein coding	Chromosome 1 Open Reading Frame 210
C1orf216	p34.3	Minus	chr1	35713875	35719472	Protein coding	Chromosome 1 Open Reading Frame 216
C1orf220	q25.2	Plus	chr1	178542752	178548889	Non-protein coding RNA	Chromosome 1 Open Reading Frame 220 (putative)
C1orf226	q23.3	Plus	chr1	162366908	162386818	Protein coding	Chromosome 1 Open Reading Frame 226
C1orf228	p34.1	Plus	chr1	44674692	44725591	Protein coding	Chromosome 1 Open Reading Frame 228
C1orf229	q44	Minus	chr1	247110160	247112417	Non-protein coding RNA	Chromosome 1 Open Reading Frame 229
C1orf232	p36.11	Minus	chr1	26164161	26168581	Protein coding	Chromosome 1 Open Reading Frame 230
C1orf35	q42.13	Minus	chr1	228100726	228105411	Protein coding	Chromosome 1 Open Reading Frame 35
C1orf43	q21.3	Minus	chr1	154206706	154220637	Protein coding	Chromosome 1 Open Reading Frame 43
C1orf50	p34.2	Plus	chr1	42767269	42779488	Protein coding	Chromosome 1 Open Reading Frame 50
C1orf52	p22.3	Minus	chr1	85249953	85259672	Protein coding	Chromosome 1 Open Reading Frame 52
C1orf53	q31.3	Plus	chr1	197902647	197907367	Protein coding	Chromosome 1 Open Reading Frame 53
C1orf54	q21.2	Plus	chr1	150268200	150280916	Protein coding	Chromosome 1 Open Reading Frame 54
C1orf56	q21.3	Plus	chr1	151047740	151051986	Protein coding	Chromosome 1 Open Reading Frame 56
C1orf61	q22	Minus	chr1	156404250	156430701	Protein coding	Chromosome 1 Open Reading Frame 61
C1orf68	q21.3	Plus	chr1	152719522	152720470	Protein coding	Chromosome 1 Open Reading Frame 68
C1orf74	q32.2	Minus	chr1	209779208	209784559	Protein coding	Chromosome 1 Open Reading Frame 74
C1orf87	p32.1	Minus	chr1	59987269	60073770	Protein coding	Chromosome 1 Open Reading Frame 87
C1orf94	p35.1	Plus	chr1	34166883	34219131	Protein coding	Chromosome 1 Open Reading Frame 94
C1QA	p36.12	Plus	chr1	22636506	22639608	Protein coding	Complement C1q A Chain
C1QB	p36.12	Plus	chr1	22652762	22661538	Protein coding	Complement C1q B Chain
C1QBP	p13.2	Minus	chr17	5432777	5448830	Protein coding	Complement C1q Binding Protein
C1QBPP1	q21.1	Minus	chr21	19759359	19760128	Pseudogene	Complement C1q Binding Protein Pseudogene 1
C1QBPP2	q13.2	Minus	chr11	66761575	66762399	Pseudogene	Complement C1q Binding Protein Pseudogene 2
C1QC	p36.12	Plus	chr1	22643630	22648110	Protein coding	Complement C1q C Chain
C1QL1	q21.31	Minus	chr17	44959693	44968071	Protein coding	Complement C1q Like 1
C1QL1P1	p11.1	Plus	chr16	35574834	35575494	Pseudogene	Complement C1q Like 1 Pseudogene 1
C1QL2	q14.2	Minus	chr2	119156243	119158889	Protein coding	Complement C1q Like 2
C1QL3	p13	Minus	chr10	16513743	16522005	Protein coding	Complement C1q Like 3
C1QL4	q13.12	Minus	chr12	49332411	49337188	Protein coding	Complement C1q Like 4
C1QTNF1	q25.3	Plus	chr17	79022814	79049788	Protein coding	C1q And TNF Related 1
C1QTNF1-AS1	q25.3	Minus	chr17	79019209	79027655	Non-protein coding RNA	C1QTNF1 Antisense RNA 1
C1QTNF12	p36.33	Minus	chr1	1242446	1246722	Protein coding	C1q And TNF Related 12
C1QTNF2	q33.3	Minus	chr5	160347751	160370641	Protein coding	C1q And TNF Related 2
C1QTNF3	p13.2	Minus	chr5	34019448	34043832	Protein coding	C1q And TNF Related 3
C1QTNF3-AMACR	p13.2	Minus	chr5	33987174	34124528	Protein coding	C1QTNF3-AMACR Readthrough (NMD Candidate)
C1QTNF4	p11.2	Minus	chr11	47589664	47594659	Protein coding	C1q And TNF Related 4
C1QTNF5	q23.3	Minus	chr11	119338939	119340940	Protein coding	C1q And TNF Related 5
C1QTNF6	q12.3	Minus	chr22	37180167	37199385	Protein coding	C1q And TNF Related 6
C1QTNF7	p15.32	Plus	chr4	15339818	15446166	Protein coding	C1q And TNF Related 7
C1QTNF8	p13.3	Minus	chr16	1090005	1096244	Protein coding	C1q And TNF Related 8
C1QTNF9	q12.12	Plus	chr13	24307166	24322535	Protein coding	C1q And TNF Related 9
C1QTNF9-AS1	q12.12	Minus	chr13	24315725	24321598	Non-protein coding RNA	C1QTNF9 Antisense RNA 1
C1QTNF9B	q12.12	Minus	chr13	23890525	23902655	Protein coding	C1q And TNF Related 9B
C1R	p13.31	Minus	chr12	7080209	7092607	Protein coding	Complement C1r
C1RL	p13.31	Minus	chr12	7089587	7109273	Protein coding	Complement C1r Subcomponent Like
C1RL-AS1	p13.31	Plus	chr12	7108052	7122501	Non-protein coding RNA	C1RL Antisense RNA 1
C1S	p13.31	Plus	chr12	6988259	7071032	Protein coding	Complement C1s
C2	p21.33	Plus	chr6	31879966	31927861	Protein coding	Complement C2
C2-AS1	p21.33	Minus	chr6	31934474	31941724	Non-protein coding RNA	C2 Antisense RNA 1
C20orf141	p13	Plus	chr20	2814987	2815833	Protein coding	Chromosome 20 Open Reading Frame 141
C20orf144	q11.22	Plus	chr20	33662284	33665619	Protein coding	Chromosome 20 Open Reading Frame 144
C20orf173	q11.22	Minus	chr20	35523186	35529652	Protein coding	Chromosome 20 Open Reading Frame 173
C20orf187	p12.2	Plus	chr20	11027760	11029366	Non-protein coding RNA	Chromosome 20 Open Reading Frame 187 (putative)
C20orf194	p13	Minus	chr20	3249305	3407625	Protein coding	Chromosome 20 Open Reading Frame 194
C20orf196	p12.3	Plus	chr20	5750393	5863912	Protein coding	Chromosome 20 Open Reading Frame 196
C20orf197	q13.33	Plus	chr20	60055925	60072953	Non-protein coding RNA	Chromosome 20 Open Reading Frame 197
C20orf202	p13	Plus	chr20	1203454	1208274	Protein coding	Chromosome 20 Open Reading Frame 202
C20orf203	q11.21	Minus	chr20	32631652	32673941	Protein coding	Chromosome 20 Open Reading Frame 203
C20orf204	q13.33	Plus	chr20	64034344	64039962	Protein coding	Chromosome 20 Open Reading Frame 204
C20orf24	q11.23	Plus	chr20	36605734	36612557	Protein coding	Chromosome 20 Open Reading Frame 24
C20orf27	p13	Minus	chr20	3753508	3768387	Protein coding	Chromosome 20 Open Reading Frame 27
C20orf78	p11.23	Minus	chr20	18809728	18830153	Non-protein coding RNA	Chromosome 20 Open Reading Frame 78
C20orf85	q13.32	Plus	chr20	58150904	58161150	Protein coding	Chromosome 20 Open Reading Frame 85
C20orf96	p13	Minus	chr20	270863	290778	Protein coding	Chromosome 20 Open Reading Frame 96
C21orf140	q22.12	Minus	chr21	34400317	34401072	Protein coding	Chromosome 21 Open Reading Frame 140
C21orf2	q22.3	Minus	chr21	44328944	44339402	Protein coding	Chromosome 21 Open Reading Frame 2
C21orf33	q22.3	Plus	chr21	44133605	44210114	Protein coding	Chromosome 21 Open Reading Frame 33
C21orf58	q22.3	Minus	chr21	46300181	46323875	Protein coding	Chromosome 21 Open Reading Frame 58
C21orf59	q22.11	Minus	chr21	32592079	32612866	Protein coding	Chromosome 21 Open Reading Frame 59
C21orf62	q22.11	Minus	chr21	32793564	32813728	Protein coding	Chromosome 21 Open Reading Frame 62
C21orf62-AS1	q22.11	Plus	chr21	32772100	32798969	Non-protein coding RNA	C21orf62 Antisense RNA 1
C21orf91	q21.1	Minus	chr21	17788967	17819386	Protein coding	Chromosome 21 Open Reading Frame 91
C21orf91-OT1	q21.1	Minus	chr21	17763315	17792523	Non-protein coding RNA	C21orf91 Overlapping Transcript 1
C22orf15	q11.23	Plus	chr22	23763021	23765861	Protein coding	Chromosome 22 Open Reading Frame 15
C22orf23	q13.1	Minus	chr22	37943050	37953669	Protein coding	Chromosome 22 Open Reading Frame 23
C22orf24	q12.3	Minus	chr22	31933521	31945518	Non-protein coding RNA	Chromosome 22 Open Reading Frame 24
C22orf31	q12.1	Minus	chr22	29058672	29061844	Protein coding	Chromosome 22 Open Reading Frame 31
C22orf34	q13.33	Minus	chr22	49414524	49657542	Non-protein coding RNA	Chromosome 22 Open Reading Frame 34
C22orf39	q11.21	Minus	chr22	19351368	19448232	Protein coding	Chromosome 22 Open Reading Frame 39
C22orf42	q12.3	Minus	chr22	32149006	32159322	Protein coding	Chromosome 22 Open Reading Frame 42
C22orf46	q13.2	Plus	chr22	41688939	41698136	Protein coding	Chromosome 22 Open Reading Frame 46
C2CD2	q22.3	Minus	chr21	41885112	41953890	Protein coding	C2 Calcium Dependent Domain Containing 2
C2CD2L	q23.3	Plus	chr11	119102198	119118544	Protein coding	C2CD2 Like
C2CD3	q13.4	Minus	chr11	74012714	74171210	Protein coding	C2 Calcium Dependent Domain Containing 3
C2CD4A	q22.2	Plus	chr15	62066977	62070917	Protein coding	C2 Calcium Dependent Domain Containing 4A
C2CD4B	q22.2	Minus	chr15	62163535	62165283	Protein coding	C2 Calcium Dependent Domain Containing 4B
C2CD4C	p13.3	Minus	chr19	405438	409170	Protein coding	C2 Calcium Dependent Domain Containing 4C
C2CD4D	q21.3	Minus	chr1	151837819	151840557	Protein coding	C2 Calcium Dependent Domain Containing 4D
C2CD5	p12.1	Minus	chr12	22448583	22544546	Protein coding	C2 Calcium Dependent Domain Containing 5
C2CD6	q33.1	Minus	chr2	201487425	201619178	Protein coding	C2 Calcium Dependent Domain Containing 6
C2orf15	q11.2	Plus	chr2	99141485	99151487	Protein coding	Chromosome 2 Open Reading Frame 15
C2orf16	p23.3	Plus	chr2	27537386	27582721	Protein coding	Chromosome 2 Open Reading Frame 16
C2orf27A	q21.2	Plus	chr2	131722375	131767404	Pseudogene	Chromosome 2 Open Reading Frame 27A
C2orf27AP1	q11.21	Minus	chrY	11085476	11086061	Pseudogene	Chromosome 2 Open Reading Frame 27A Pseudogene 1
C2orf27AP2	p21.1	Minus	chr9	30670964	30671966	Pseudogene	Chromosome 2 Open Reading Frame 27A Pseudogene 2
C2orf27AP3	p11.2	Plus	chr9	40121962	40122540	Pseudogene	Chromosome 2 Open Reading Frame 27A Pseudogene 3
C2orf27B	q21.2	Minus	chr2	131794961	131801661	Non-protein coding RNA	Chromosome 2 Open Reading Frame 27B
C2orf40	q12.2	Plus	chr2	106063246	106078159	Protein coding	Chromosome 2 Open Reading Frame 40
C2orf42	p13.3	Minus	chr2	70149880	70248615	Protein coding	Chromosome 2 Open Reading Frame 42
C2orf48	p25.1	Plus	chr2	10141382	10211725	Non-protein coding RNA	Chromosome 2 Open Reading Frame 48
C2orf49	q12.2	Plus	chr2	105337359	105349211	Protein coding	Chromosome 2 Open Reading Frame 49
C2orf50	p25.1	Plus	chr2	11133053	11146790	Protein coding	Chromosome 2 Open Reading Frame 50
C2orf54	q37.3	Minus	chr2	240886048	240896889	Protein coding	Chromosome 2 Open Reading Frame 54
C2orf66	q33.1	Minus	chr2	196805002	196810276	Protein coding	Chromosome 2 Open Reading Frame 66
C2orf68	p11.2	Minus	chr2	85606654	85612066	Protein coding	Chromosome 2 Open Reading Frame 68
C2orf69	q33.1	Plus	chr2	199911256	199955935	Protein coding	Chromosome 2 Open Reading Frame 69
C2orf69P1	p11.1	Plus	chr16	35552909	35554001	Pseudogene	Chromosome 2 Open Reading Frame 69 Pseudogene 1
C2orf69P2	p11.1	Plus	chr16	35492324	35493446	Pseudogene	Chromosome 2 Open Reading Frame 69 Pseudogene 2
C2orf69P3	p11.1	Plus	chr16	35425364	35426483	Pseudogene	Chromosome 2 Open Reading Frame 69 Pseudogene 3
C2orf69P4	p11.1	Plus	chr16	35352482	35353022	Pseudogene	Chromosome 2 Open Reading Frame 69 Pseudogene 4
C2orf70	p23.3	Plus	chr2	26562582	26579532	Protein coding	Chromosome 2 Open Reading Frame 70
C2orf71	p23.2	Minus	chr2	29060976	29074261	Protein coding	Chromosome 2 Open Reading Frame 71
C2orf72	q37.1	Plus	chr2	231037490	231049719	Protein coding	Chromosome 2 Open Reading Frame 72
C2orf73	p16.2	Plus	chr2	54330034	54383742	Protein coding	Chromosome 2 Open Reading Frame 73
C2orf74	p15	Plus	chr2	61145068	61164829	Protein coding	Chromosome 2 Open Reading Frame 74
C2orf76	q14.2	Minus	chr2	119302225	119366828	Protein coding	Chromosome 2 Open Reading Frame 76
C2orf78	p13.1	Plus	chr2	73784189	73817147	Protein coding	Chromosome 2 Open Reading Frame 78
C2orf80	q33.3	Minus	chr2	208165343	208190073	Protein coding	Chromosome 2 Open Reading Frame 80
C2orf81	p13.1	Minus	chr2	74414176	74421591	Protein coding	Chromosome 2 Open Reading Frame 81
C2orf83	q36.3	Minus	chr2	227610090	227648606	Protein coding	Chromosome 2 Open Reading Frame 83
C2orf88	q32.2	Plus	chr2	189879609	190203484	Protein coding	Chromosome 2 Open Reading Frame 88
C2orf91	p21	Minus	chr2	41935368	41954266	Protein coding	Chromosome 2 Open Reading Frame 91
C2orf92	q11.2	Plus	chr2	97664217	97703064	Protein coding	Chromosome 2 Open Reading Frame 92
C3	p13.3	Minus	chr19	6677704	6730562	Protein coding	Complement C3
C3AR1	p13.31	Minus	chr12	8058302	8066471	Protein coding	Complement C3a Receptor 1
C3orf14	p14.2	Plus	chr3	62318973	62336213	Protein coding	Chromosome 3 Open Reading Frame 14
C3orf18	p21.31	Minus	chr3	50558025	50571027	Protein coding	Chromosome 3 Open Reading Frame 18
C3orf20	p25.1	Plus	chr3	14675099	14773034	Protein coding	Chromosome 3 Open Reading Frame 20
C3orf22	q21.3	Minus	chr3	126526999	126558965	Protein coding	Chromosome 3 Open Reading Frame 22
C3orf30	q13.32	Plus	chr3	119146150	119160042	Protein coding	Chromosome 3 Open Reading Frame 30
C3orf33	q25.31	Minus	chr3	155762617	155806351	Protein coding	Chromosome 3 Open Reading Frame 33
C3orf35	p22.2	Plus	chr3	37386269	37435497	Non-protein coding RNA	Chromosome 3 Open Reading Frame 35
C3orf36	q22.1	Minus	chr3	133928145	133929812	Protein coding	Chromosome 3 Open Reading Frame 36
C3orf38	p11.1	Plus	chr3	88149743	88168729	Protein coding	Chromosome 3 Open Reading Frame 38
C3orf49	p14.1	Plus	chr3	63819362	63848636	Protein coding	Chromosome 3 Open Reading Frame 49
C3orf52	q13.2	Plus	chr3	112086335	112131004	Protein coding	Chromosome 3 Open Reading Frame 52
C3orf56	q21.3	Plus	chr3	127193131	127198185	Protein coding	Chromosome 3 Open Reading Frame 56
C3orf58	q24	Plus	chr3	143971798	144048719	Protein coding	Chromosome 3 Open Reading Frame 58
C3orf62	p21.31	Minus	chr3	49268602	49277909	Protein coding	Chromosome 3 Open Reading Frame 62
