Gene.name	Gene.stable.ID	HGNC.ID	NCBI.gene.ID	UniProtKB.Swiss.Prot.ID	MIM.gene.accession
CPEB2	ENSG00000137449	HGNC:21745	132864	Q7Z5Q1	610605
CPEB3	ENSG00000107864	HGNC:21746	22849	Q8NE35	610606
CPEB4	ENSG00000113742	HGNC:21747	80315	Q17RY0	610607
CPED1	ENSG00000106034	HGNC:26159	79974	A4D0V7	NA
CPHXL	ENSG00000283755	HGNC:51815	105371346	NA	NA
CPLX1	ENSG00000168993	HGNC:2309	10815	O14810	605032
CPLX2	ENSG00000145920	HGNC:2310	10814	Q6PUV4	605033
CPLX3	ENSG00000213578	HGNC:27652	594855	Q8WVH0	609585
CPLX4	ENSG00000166569	HGNC:24330	339302	Q7Z7G2	609586
CPM	ENSG00000135678	HGNC:2311	1368	P14384	114860
CPN1	ENSG00000120054	HGNC:2312	1369	P15169	603103
CPN2	ENSG00000178772	HGNC:2313	1370	P22792	603104
CPNE1	ENSG00000214078	HGNC:2314	8904	Q99829	604205
CPNE2	ENSG00000140848	HGNC:2315	221184	Q96FN4	604206
CPNE3	ENSG00000085719	HGNC:2316	8895	O75131	604207
CPNE4	ENSG00000196353	HGNC:2317	131034	Q96A23	604208
CPNE5	ENSG00000124772	HGNC:2318	57699	Q9HCH3	604209
CPNE6	ENSG00000100884	HGNC:2319	9362	O95741	605688
CPNE7	ENSG00000178773	HGNC:2320	27132	Q9UBL6	605689
CPNE8	ENSG00000139117	HGNC:23498	144402	Q86YQ8	NA
CPNE9	ENSG00000144550	HGNC:24336	151835	Q8IYJ1	NA
CPO	ENSG00000144410	HGNC:21011	130749	Q8IVL8	609563
CPOX	ENSG00000080819	HGNC:2321	1371	P36551	612732
CPPED1	ENSG00000103381	HGNC:25632	55313	Q9BRF8	615603
CPQ	ENSG00000104324	HGNC:16910	10404	Q9Y646	NA
CPS1	ENSG00000021826	HGNC:2323	1373	P31327	608307
CPSF1	ENSG00000071894	HGNC:2324	29894	Q10570	606027
CPSF2	ENSG00000165934	HGNC:2325	53981	Q9P2I0	606028
CPSF3	ENSG00000119203	HGNC:2326	51692	Q9UKF6	606029
CPSF4	ENSG00000160917	HGNC:2327	10898	O95639	603052
CPSF4L	ENSG00000187959	HGNC:33632	642843	A6NMK7	NA
CPSF6	ENSG00000111605	HGNC:13871	11052	Q16630	604979
CPSF7	ENSG00000149532	HGNC:30098	79869	Q8N684	NA
CPT1A	ENSG00000110090	HGNC:2328	1374	P50416	600528
CPT1B	ENSG00000205560	HGNC:2329	1375	Q92523	601987
CPT1C	ENSG00000169169	HGNC:18540	126129	Q8TCG5	608846
CPT2	ENSG00000157184	HGNC:2330	1376	P23786	600650
CPTP	ENSG00000224051	HGNC:28116	80772	Q5TA50	615467
CPVL	ENSG00000106066	HGNC:14399	54504	Q9H3G5	609780
CPXCR1	ENSG00000147183	HGNC:2332	53336	Q8N123	NA
CPXM1	ENSG00000088882	HGNC:15771	56265	Q96SM3	609555
CPXM2	ENSG00000121898	HGNC:26977	119587	Q8N436	617348
CPZ	ENSG00000109625	HGNC:2333	8532	Q66K79	603105
CR1	ENSG00000203710	HGNC:2334	1378	P17927	120620
CR1L	ENSG00000197721	HGNC:2335	1379	Q2VPA4	605886
CR2	ENSG00000117322	HGNC:2336	1380	P20023	120650
CR354443.1	ENSG00000258543	NA	NA	NA	NA
CR388407.1	ENSG00000275606	NA	NA	NA	NA
CR547123.1	ENSG00000277403	NA	NA	NA	NA
CR753842.1	ENSG00000258589	NA	NA	NA	NA
CR753845.2	ENSG00000269167	NA	NA	NA	NA
CR759815.2	ENSG00000258002	NA	NA	NA	NA
CR788250.1	ENSG00000231021	NA	3126	NA	NA
CR847794.2	ENSG00000257215	NA	NA	NA	NA
CR933783.1	ENSG00000274733	NA	NA	NA	NA
CRABP1	ENSG00000166426	HGNC:2338	1381	P29762	180230
CRABP2	ENSG00000143320	HGNC:2339	1382	P29373	180231
CRACR2A	ENSG00000130038	HGNC:28657	84766	Q9BSW2	614178
CRACR2B	ENSG00000177685	HGNC:28703	283229	Q8N4Y2	614177
CRADD	ENSG00000169372	HGNC:2340	8738	P78560	603454
CRAMP1	ENSG00000007545	HGNC:14122	57585	Q96RY5	NA
CRAT	ENSG00000095321	HGNC:2342	1384	P43155	600184
CRB1	ENSG00000134376	HGNC:2343	23418	P82279	604210
CRB2	ENSG00000148204	HGNC:18688	286204	Q5IJ48	609720
CRB3	ENSG00000130545	HGNC:20237	92359	Q9BUF7	609737
CRBN	ENSG00000113851	HGNC:30185	51185	Q96SW2	609262
CRCP	ENSG00000241258	HGNC:17888	27297	O75575	606121
CRCT1	ENSG00000169509	HGNC:29875	54544	Q9UGL9	617426
CREB1	ENSG00000118260	HGNC:2345	1385	P16220	123810
CREB3	ENSG00000107175	HGNC:2347	10488	O43889	606443
CREB3L1	ENSG00000157613	HGNC:18856	90993	Q96BA8	616215
CREB3L2	ENSG00000182158	HGNC:23720	64764	Q70SY1	608834
CREB3L3	ENSG00000060566	HGNC:18855	84699	Q68CJ9	611998
CREB3L4	ENSG00000143578	HGNC:18854	148327	Q8TEY5	607138
CREB5	ENSG00000146592	HGNC:16844	9586	Q02930	NA
CREBBP	ENSG00000005339	HGNC:2348	1387	Q92793	600140
CREBL2	ENSG00000111269	HGNC:2350	1389	O60519	603476
CREBRF	ENSG00000164463	HGNC:24050	153222	Q8IUR6	617109
CREBZF	ENSG00000137504	HGNC:24905	58487	Q9NS37	606444
CREG1	ENSG00000143162	HGNC:2351	8804	O75629	NA
CREG2	ENSG00000175874	HGNC:14272	200407	Q8IUH2	NA
CRELD1	ENSG00000163703	HGNC:14630	78987	Q96HD1	607170
CRELD2	ENSG00000184164	HGNC:28150	79174	Q6UXH1	607171
CREM	ENSG00000095794	HGNC:2352	1390	Q03060	123812
CRH	ENSG00000147571	HGNC:2355	1392	P06850	122560
CRHBP	ENSG00000145708	HGNC:2356	1393	P24387	122559
CRHR1	ENSG00000120088	HGNC:2357	1394	P34998	122561
CRHR2	ENSG00000106113	HGNC:2358	1395	Q13324	602034
CRIM1	ENSG00000277354	HGNC:2359	51232	Q9NZV1	606189
CRIP1	ENSG00000213145	HGNC:2360	1396	P50238	123875
CRIP2	ENSG00000182809	HGNC:2361	1397	P52943	601183
CRIP3	ENSG00000146215	HGNC:17751	401262	Q6Q6R5	NA
CRIPT	ENSG00000119878	HGNC:14312	9419	Q9P021	604594
CRISP1	ENSG00000124812	HGNC:304	167	P54107	601193
CRISP2	ENSG00000124490	HGNC:12024	7180	P16562	187430
CRISP3	ENSG00000096006	HGNC:16904	10321	P54108	NA
CRISPLD1	ENSG00000121005	HGNC:18206	83690	Q9H336	NA
CRISPLD2	ENSG00000103196	HGNC:25248	83716	Q9H0B8	612434
CRK	ENSG00000167193	HGNC:2362	1398	P46108	164762
CRKL	ENSG00000099942	HGNC:2363	1399	P46109	602007
CRLF1	ENSG00000006016	HGNC:2364	9244	O75462	604237
CRLF2	ENSG00000205755	HGNC:14281	64109	Q9HC73	400023
CRLF3	ENSG00000176390	HGNC:17177	51379	Q8IUI8	614853
CRLS1	ENSG00000088766	HGNC:16148	54675	Q9UJA2	608188
CRMP1	ENSG00000072832	HGNC:2365	1400	Q14194	602462
CRNKL1	ENSG00000101343	HGNC:15762	51340	Q9BZJ0	610952
CRNN	ENSG00000143536	HGNC:1230	49860	Q9UBG3	611312
CROCC	ENSG00000058453	HGNC:21299	9696	Q5TZA2	615776
CROCC2	ENSG00000226321	HGNC:51677	728763	H7BZ55	NA
CROT	ENSG00000005469	HGNC:2366	54677	Q9UKG9	606090
CRP	ENSG00000132693	HGNC:2367	1401	P02741	123260
CRTAC1	ENSG00000095713	HGNC:14882	55118	Q9NQ79	606276
CRTAM	ENSG00000109943	HGNC:24313	56253	O95727	612597
CRTAP	ENSG00000170275	HGNC:2379	10491	O75718	605497
CRTC1	ENSG00000105662	HGNC:16062	23373	Q6UUV9	607536
CRTC2	ENSG00000160741	HGNC:27301	200186	Q53ET0	608972
CRTC3	ENSG00000140577	HGNC:26148	64784	Q6UUV7	608986
CRX	ENSG00000105392	HGNC:2383	1406	O43186	602225
CRY1	ENSG00000008405	HGNC:2384	1407	Q16526	601933
CRY2	ENSG00000121671	HGNC:2385	1408	Q49AN0	603732
CRYAA	ENSG00000160202	HGNC:2388	1409	P02489	123580
CRYAA2	ENSG00000276076	HGNC:51901	102724652	NA	NA
CRYAB	ENSG00000109846	HGNC:2389	1410	P02511	123590
CRYBA1	ENSG00000108255	HGNC:2394	1411	P05813	123610
CRYBA2	ENSG00000163499	HGNC:2395	1412	P53672	600836
CRYBA4	ENSG00000196431	HGNC:2396	1413	P53673	123631
CRYBB1	ENSG00000100122	HGNC:2397	1414	P53674	600929
CRYBB2	ENSG00000244752	HGNC:2398	1415	P43320	123620
CRYBB3	ENSG00000100053	HGNC:2400	1417	P26998	123630
CRYBG1	ENSG00000112297	HGNC:356	202	Q9Y4K1	601797
CRYBG2	ENSG00000176092	HGNC:17295	55057	Q8N1P7	NA
CRYBG3	ENSG00000080200	HGNC:34427	131544	Q68DQ2	NA
CRYGA	ENSG00000168582	HGNC:2408	1418	P11844	123660
CRYGB	ENSG00000182187	HGNC:2409	1419	P07316	123670
CRYGC	ENSG00000163254	HGNC:2410	1420	P07315	123680
CRYGD	ENSG00000118231	HGNC:2411	1421	P07320	123690
CRYGN	ENSG00000127377	HGNC:20458	155051	Q8WXF5	609603
CRYGS	ENSG00000213139	HGNC:2417	1427	P22914	123730
CRYL1	ENSG00000165475	HGNC:18246	51084	Q9Y2S2	609877
CRYM	ENSG00000103316	HGNC:2418	1428	Q14894	123740
CRYZ	ENSG00000116791	HGNC:2419	1429	Q08257	123691
CRYZL1	ENSG00000205758	HGNC:2420	9946	O95825	603920
CS	ENSG00000062485	HGNC:2422	1431	O75390	118950
CSAD	ENSG00000139631	HGNC:18966	51380	Q9Y600	616569
CSAG1	ENSG00000198930	HGNC:24294	158511	Q6PB30	300944
CSAG2	ENSG00000268902	HGNC:16847	102723547	NA	NA
CSAG3	ENSG00000268916	HGNC:26237	389903	Q9Y5P2	NA
CSDC2	ENSG00000172346	HGNC:30359	27254	Q9Y534	617689
CSDE1	ENSG00000009307	HGNC:29905	7812	O75534	191510
CSE1L	ENSG00000124207	HGNC:2431	1434	P55060	601342
CSF1	ENSG00000184371	HGNC:2432	1435	P09603	120420
CSF1R	ENSG00000182578	HGNC:2433	1436	P07333	164770
CSF2	ENSG00000164400	HGNC:2434	1437	P04141	138960
CSF2RA	ENSG00000198223	HGNC:2435	1438	P15509	306250
CSF2RB	ENSG00000100368	HGNC:2436	1439	P32927	138981
CSF3	ENSG00000108342	HGNC:2438	1440	P09919	138970
CSF3R	ENSG00000119535	HGNC:2439	1441	Q99062	138971
CSGALNACT1	ENSG00000147408	HGNC:24290	55790	Q8TDX6	616615
CSGALNACT2	ENSG00000169826	HGNC:24292	55454	Q8N6G5	616616
CSH1	ENSG00000136488	HGNC:2440	1442	P0DML2	150200
CSH2	ENSG00000213218	HGNC:2441	1443	P0DML3	118820
CSHL1	ENSG00000204414	HGNC:2442	1444	Q14406	603515
CSK	ENSG00000103653	HGNC:2444	1445	P41240	124095
CSKMT	ENSG00000214756	HGNC:33113	751071	A8MUP2	NA
CSMD1	ENSG00000183117	HGNC:14026	64478	NA	608397
CSMD2	ENSG00000121904	HGNC:19290	114784	Q7Z408	608398
CSMD3	ENSG00000164796	HGNC:19291	114788	Q7Z407	608399
CSN1S1	ENSG00000126545	HGNC:2445	1446	P47710	115450
CSN2	ENSG00000135222	HGNC:2447	1447	P05814	115460
CSN3	ENSG00000171209	HGNC:2446	1448	P07498	601695
CSNK1A1	ENSG00000113712	HGNC:2451	1452	P48729	600505
CSNK1A1L	ENSG00000180138	HGNC:20289	122011	Q8N752	NA
CSNK1D	ENSG00000141551	HGNC:2452	1453	P48730	600864
CSNK1E	ENSG00000213923	HGNC:2453	1454	P49674	600863
CSNK1G1	ENSG00000169118	HGNC:2454	53944	Q9HCP0	606274
CSNK1G2	ENSG00000133275	HGNC:2455	1455	P78368	602214
CSNK1G3	ENSG00000151292	HGNC:2456	1456	Q9Y6M4	604253
CSNK2A1	ENSG00000101266	HGNC:2457	1457	P68400	115440
CSNK2A2	ENSG00000070770	HGNC:2459	1459	P19784	115442
CSNK2A3	ENSG00000254598	HGNC:2458	283106	Q8NEV1	NA
CSNK2B	ENSG00000232960	HGNC:2460	1460	P67870	115441
CSNKA2IP	ENSG00000283434	HGNC:53637	NA	NA	NA
CSPG4	ENSG00000173546	HGNC:2466	1464	Q6UVK1	601172
CSPG5	ENSG00000114646	HGNC:2467	10675	O95196	606775
CSPP1	ENSG00000104218	HGNC:26193	79848	Q1MSJ5	611654
CSRNP1	ENSG00000144655	HGNC:14300	64651	Q96S65	606458
CSRNP2	ENSG00000110925	HGNC:16006	81566	Q9H175	NA
CSRNP3	ENSG00000178662	HGNC:30729	80034	Q8WYN3	NA
CSRP1	ENSG00000159176	HGNC:2469	1465	P21291	123876
CSRP2	ENSG00000175183	HGNC:2470	1466	Q16527	601871
CSRP3	ENSG00000129170	HGNC:2472	8048	P50461	600824
CST1	ENSG00000170373	HGNC:2473	1469	P01037	123855
CST11	ENSG00000125831	HGNC:15959	140880	Q9H112	609731
CST2	ENSG00000170369	HGNC:2474	1470	P09228	123856
CST3	ENSG00000101439	HGNC:2475	1471	P01034	604312
CST4	ENSG00000101441	HGNC:2476	1472	P01036	123857
CST5	ENSG00000170367	HGNC:2477	1473	P28325	123858
CST6	ENSG00000175315	HGNC:2478	1474	Q15828	601891
CST7	ENSG00000077984	HGNC:2479	8530	O76096	603253
CST8	ENSG00000125815	HGNC:2480	10047	O60676	608683
CST9	ENSG00000173335	HGNC:13261	128822	Q5W186	616543
CST9L	ENSG00000101435	HGNC:16233	128821	Q9H4G1	616536
CSTA	ENSG00000121552	HGNC:2481	1475	P01040	184600
CSTB	ENSG00000160213	HGNC:2482	1476	P04080	601145
CSTF1	ENSG00000101138	HGNC:2483	1477	Q05048	600369
CSTF2	ENSG00000101811	HGNC:2484	1478	P33240	300907
CSTF2T	ENSG00000177613	HGNC:17086	23283	Q9H0L4	611968
CSTF3	ENSG00000176102	HGNC:2485	1479	Q12996	600367
CSTL1	ENSG00000125823	HGNC:15958	128817	Q9H114	NA
CT45A1	ENSG00000268940	HGNC:33267	541466	Q5HYN5	NA
CT45A10	ENSG00000269586	HGNC:51263	102723631	P0DMU9	NA
CT45A2	ENSG00000271449	HGNC:28400	728911	Q5DJT8	300793
CT45A3	ENSG00000269096	HGNC:33268	441519	Q8NHU0	300648
CT45A5	ENSG00000228836	HGNC:33270	441521	P0DMU8	300796
CT45A6	ENSG00000278289	HGNC:33271	541465	P0DMU7	300797
CT45A7	ENSG00000273696	HGNC:51260	101060211	P0DMV0	NA
CT45A8	ENSG00000278085	HGNC:51261	102723737	P0DMV1	NA
CT45A9	ENSG00000270946	HGNC:51262	102723680	P0DMV2	NA
CT476828.1	ENSG00000283767	NA	NA	NA	NA
CT476828.10	ENSG00000284002	NA	NA	NA	NA
CT476828.11	ENSG00000284025	NA	107987484	NA	NA
CT476828.12	ENSG00000284066	NA	107987489	NA	NA
CT476828.13	ENSG00000284156	NA	NA	NA	NA
CT476828.14	ENSG00000284174	NA	107987490	NA	NA
CT476828.15	ENSG00000284181	NA	107987486	NA	NA
CT476828.16	ENSG00000284210	NA	NA	NA	NA
CT476828.17	ENSG00000284262	NA	NA	NA	NA
CT476828.18	ENSG00000284383	NA	NA	NA	NA
CT476828.19	ENSG00000284475	NA	NA	NA	NA
CT476828.2	ENSG00000283820	NA	107987487	NA	NA
CT476828.20	ENSG00000284496	NA	NA	NA	NA
CT476828.21	ENSG00000284502	NA	NA	NA	NA
CT476828.22	ENSG00000284507	NA	107987488	NA	NA
CT476828.3	ENSG00000283830	NA	NA	NA	NA
CT476828.4	ENSG00000283834	NA	107987491	NA	NA
CT476828.5	ENSG00000283878	NA	107987485	NA	NA
CT476828.6	ENSG00000283884	NA	NA	NA	NA
CT476828.7	ENSG00000283893	NA	NA	NA	NA
CT476828.8	ENSG00000283898	NA	NA	NA	NA
CT476828.9	ENSG00000283955	NA	NA	NA	NA
CT47A1	ENSG00000236371	HGNC:33282	728096	Q5JQC4	300780
CT47A10	ENSG00000224089	HGNC:33291	728036	Q5JQC4	300789
CT47A11	ENSG00000226929	HGNC:27397	255313	Q5JQC4	300592
CT47A12	ENSG00000226685	HGNC:33292	100507170	Q5JQC4	NA
CT47A2	ENSG00000242362	HGNC:33283	728090	Q5JQC4	300781
CT47A3	ENSG00000236126	HGNC:33284	728082	Q5JQC4	300782
CT47A4	ENSG00000230594	HGNC:33285	728075	Q5JQC4	300783
CT47A5	ENSG00000237957	HGNC:33286	728072	Q5JQC4	300784
CT47A6	ENSG00000226023	HGNC:33287	728062	Q5JQC4	300785
CT47A7	ENSG00000228517	HGNC:33288	653282	Q5JQC4	300786
CT47A8	ENSG00000230347	HGNC:33289	728049	Q5JQC4	300787
CT47A9	ENSG00000226600	HGNC:33290	728042	Q5JQC4	300788
CT47B1	ENSG00000236446	HGNC:33293	643311	P0C2W7	300790
CT55	ENSG00000169551	HGNC:26047	54967	Q8WUE5	NA
CT62	ENSG00000225362	HGNC:27286	196993	P0C5K7	NA
CT83	ENSG00000204019	HGNC:33494	203413	Q5H943	300625
CTAG1A	ENSG00000268651	HGNC:24198	246100	P78358	300657
CTAG1B	ENSG00000184033	HGNC:2491	1485	P78358	300156
CTAG2	ENSG00000126890	HGNC:2492	30848	O75638	300396
CTAGE1	ENSG00000212710	HGNC:24346	64693	Q9HC47	608856
CTAGE15	ENSG00000271079	HGNC:37295	441294	A4D2H0	NA
CTAGE4	ENSG00000225932	HGNC:24772	100128553	Q8IX94	608910
CTAGE5	ENSG00000150527	HGNC:7057	4253	Q96PC5	602132
CTAGE6	ENSG00000271321	HGNC:28644	340307	Q86UF2	NA
CTAGE8	ENSG00000244693	HGNC:37294	100142659	P0CG41	NA
CTAGE9	ENSG00000236761	HGNC:37275	643854	A4FU28	NA
CTBP1	ENSG00000159692	HGNC:2494	1487	Q13363	602618
CTBP2	ENSG00000175029	HGNC:2495	1488	P56545	602619
CTBS	ENSG00000117151	HGNC:2496	1486	Q01459	600873
CTC1	ENSG00000178971	HGNC:26169	80169	Q2NKJ3	613129
CTCF	ENSG00000102974	HGNC:13723	10664	P49711	604167
CTCFL	ENSG00000124092	HGNC:16234	140690	Q8NI51	607022
CTDNEP1	ENSG00000175826	HGNC:19085	23399	O95476	610684
CTDP1	ENSG00000282752	HGNC:2498	9150	Q9Y5B0	604927
CTDSP1	ENSG00000144579	HGNC:21614	58190	Q9GZU7	605323
CTDSP2	ENSG00000175215	HGNC:17077	10106	O14595	608711
CTDSPL	ENSG00000144677	HGNC:16890	10217	O15194	608592
CTDSPL2	ENSG00000137770	HGNC:26936	51496	Q05D32	NA
CTF1	ENSG00000150281	HGNC:2499	1489	Q16619	600435
CTGF	ENSG00000118523	HGNC:2500	1490	P29279	121009
CTH	ENSG00000116761	HGNC:2501	1491	P32929	607657
CTHRC1	ENSG00000164932	HGNC:18831	115908	Q96CG8	610635
CTIF	ENSG00000134030	HGNC:23925	9811	O43310	613178
CTLA4	ENSG00000163599	HGNC:2505	1493	P16410	123890
CTNNA1	ENSG00000044115	HGNC:2509	1495	P35221	116805
CTNNA2	ENSG00000066032	HGNC:2510	1496	P26232	114025
CTNNA3	ENSG00000183230	HGNC:2511	29119	Q9UI47	607667
CTNNAL1	ENSG00000119326	HGNC:2512	8727	Q9UBT7	604785
CTNNB1	ENSG00000168036	HGNC:2514	1499	P35222	116806
CTNNBIP1	ENSG00000178585	HGNC:16913	56998	Q9NSA3	607758
CTNNBL1	ENSG00000132792	HGNC:15879	56259	Q8WYA6	611537
CTNND1	ENSG00000198561	HGNC:2515	1500	O60716	601045
CTNND2	ENSG00000169862	HGNC:2516	1501	Q9UQB3	604275
CTNS	ENSG00000040531	HGNC:2518	1497	O60931	606272
CTPS1	ENSG00000171793	HGNC:2519	1503	P17812	123860
CTPS2	ENSG00000047230	HGNC:2520	56474	Q9NRF8	300380
CTR9	ENSG00000198730	HGNC:16850	9646	Q6PD62	609366
CTRB1	ENSG00000168925	HGNC:2521	1504	P17538	118890
CTRB2	ENSG00000168928	HGNC:2522	440387	Q6GPI1	NA
CTRC	ENSG00000162438	HGNC:2523	11330	Q99895	601405
CTRL	ENSG00000141086	HGNC:2524	1506	P40313	118888
CTSA	ENSG00000064601	HGNC:9251	5476	P10619	613111
CTSB	ENSG00000164733	HGNC:2527	1508	P07858	116810
CTSC	ENSG00000109861	HGNC:2528	1075	P53634	602365
CTSD	ENSG00000117984	HGNC:2529	1509	P07339	116840
CTSE	ENSG00000196188	HGNC:2530	1510	P14091	116890
CTSF	ENSG00000174080	HGNC:2531	8722	Q9UBX1	603539
CTSG	ENSG00000100448	HGNC:2532	1511	P08311	116830
CTSH	ENSG00000103811	HGNC:2535	1512	P09668	116820
CTSK	ENSG00000143387	HGNC:2536	1513	P43235	601105
CTSL	ENSG00000135047	HGNC:2537	1514	P07711	116880
CTSO	ENSG00000263238	HGNC:2542	1519	P43234	600550
CTSS	ENSG00000163131	HGNC:2545	1520	P25774	116845
CTSV	ENSG00000136943	HGNC:2538	1515	O60911	603308
CTSW	ENSG00000172543	HGNC:2546	1521	P56202	602364
CTSZ	ENSG00000101160	HGNC:2547	1522	Q9UBR2	603169
CTTN	ENSG00000085733	HGNC:3338	2017	Q14247	164765
CTTNBP2	ENSG00000077063	HGNC:15679	83992	Q8WZ74	609772
CTTNBP2NL	ENSG00000143079	HGNC:25330	55917	Q9P2B4	615100
CTU1	ENSG00000142544	HGNC:29590	90353	Q7Z7A3	612694
CTU2	ENSG00000174177	HGNC:28005	348180	Q2VPK5	617057
CTXN1	ENSG00000178531	HGNC:31108	404217	P60606	600135
CTXN2	ENSG00000233932	HGNC:31109	399697	P0C2S0	NA
CTXN3	ENSG00000205279	HGNC:31110	613212	Q4LDR2	NA
CTXND1	ENSG00000259417	HGNC:50507	100996492	NA	NA
CTXND2	ENSG00000283324	HGNC:53440	NA	NA	NA
CU464060.1	ENSG00000275583	NA	100132285	NA	604953
CU633846.1	ENSG00000275921	NA	NA	NA	NA
CU633980.1	ENSG00000277277	NA	102723451	NA	NA
CUBN	ENSG00000107611	HGNC:2548	8029	O60494	602997
CUEDC1	ENSG00000180891	HGNC:31350	404093	Q9NWM3	NA
CUEDC2	ENSG00000107874	HGNC:28352	79004	Q9H467	614142
CUL1	ENSG00000055130	HGNC:2551	8454	Q13616	603134
CUL2	ENSG00000108094	HGNC:2552	8453	Q13617	603135
CUL3	ENSG00000036257	HGNC:2553	8452	Q13618	603136
CUL4A	ENSG00000139842	HGNC:2554	8451	Q13619	603137
CUL4B	ENSG00000158290	HGNC:2555	8450	Q13620	300304
CUL5	ENSG00000166266	HGNC:2556	8065	Q93034	601741
CUL7	ENSG00000044090	HGNC:21024	9820	Q14999	609577
CUL9	ENSG00000112659	HGNC:15982	23113	Q8IWT3	607489
CUTA	ENSG00000112514	HGNC:21101	51596	O60888	616953
CUTC	ENSG00000119929	HGNC:24271	51076	Q9NTM9	610101
CUX1	ENSG00000257923	HGNC:2557	1523	Q13948	116896
CUX2	ENSG00000111249	HGNC:19347	23316	O14529	610648
CUZD1	ENSG00000138161	HGNC:17937	50624	Q86UP6	616644
CWC15	ENSG00000150316	HGNC:26939	51503	Q9P013	NA
CWC22	ENSG00000163510	HGNC:29322	57703	Q9HCG8	615186
CWC25	ENSG00000273559	HGNC:25989	54883	Q9NXE8	NA
CWC27	ENSG00000153015	HGNC:10664	10283	Q6UX04	617170
CWF19L1	ENSG00000095485	HGNC:25613	55280	Q69YN2	616120
CWF19L2	ENSG00000152404	HGNC:26508	143884	Q2TBE0	NA
CWH43	ENSG00000109182	HGNC:26133	80157	Q9H720	NA
CX3CL1	ENSG00000006210	HGNC:10647	6376	P78423	601880
CX3CR1	ENSG00000168329	HGNC:2558	1524	P49238	601470
CXADR	ENSG00000154639	HGNC:2559	1525	P78310	602621
CXCL1	ENSG00000163739	HGNC:4602	2919	P09341	155730
CXCL10	ENSG00000169245	HGNC:10637	3627	P02778	147310
CXCL11	ENSG00000169248	HGNC:10638	6373	O14625	604852
CXCL12	ENSG00000107562	HGNC:10672	6387	P48061	600835
CXCL13	ENSG00000156234	HGNC:10639	10563	O43927	605149
CXCL14	ENSG00000145824	HGNC:10640	9547	O95715	604186
CXCL16	ENSG00000161921	HGNC:16642	58191	Q9H2A7	605398
CXCL17	ENSG00000189377	HGNC:19232	284340	Q6UXB2	611387
CXCL2	ENSG00000081041	HGNC:4603	2920	P19875	139110
CXCL3	ENSG00000163734	HGNC:4604	2921	P19876	139111
CXCL5	ENSG00000163735	HGNC:10642	6374	P42830	600324
CXCL6	ENSG00000124875	HGNC:10643	6372	P80162	138965
CXCL8	ENSG00000169429	HGNC:6025	3576	P10145	146930
CXCL9	ENSG00000138755	HGNC:7098	4283	Q07325	601704
CXCR1	ENSG00000163464	HGNC:6026	3577	P25024	146929
CXCR2	ENSG00000180871	HGNC:6027	3579	P25025	146928
CXCR3	ENSG00000186810	HGNC:4540	2833	P49682	300574
CXCR4	ENSG00000121966	HGNC:2561	7852	P61073	162643
CXCR5	ENSG00000160683	HGNC:1060	643	P32302	601613
CXCR6	ENSG00000172215	HGNC:16647	10663	O00574	605163
CXorf21	ENSG00000120280	HGNC:25667	80231	Q9HAI6	NA
CXorf36	ENSG00000147113	HGNC:25866	79742	Q9H7Y0	300959
CXorf38	ENSG00000185753	HGNC:28589	159013	Q8TB03	NA
CXorf40A	ENSG00000197620	HGNC:28089	91966	Q8TE69	300954
CXorf40B	ENSG00000197021	HGNC:17402	541578	Q96DE9	NA
CXorf49	ENSG00000215115	HGNC:30891	100130361	A8MYA2	NA
CXorf49B	ENSG00000215113	HGNC:34229	100132994	A8MYA2	NA
CXorf51A	ENSG00000224440	HGNC:30533	100129239	NA	NA
CXorf51B	ENSG00000235699	HGNC:42787	100133053	NA	NA
CXorf56	ENSG00000018610	HGNC:26239	63932	Q9H5V9	NA
CXorf57	ENSG00000147231	HGNC:25486	55086	Q6NSI4	NA
CXorf58	ENSG00000165182	HGNC:26356	254158	Q96LI9	NA
CXorf65	ENSG00000204165	HGNC:33713	158830	A6NEN9	NA
CXorf66	ENSG00000203933	HGNC:33743	347487	Q5JRM2	NA
CXorf67	ENSG00000187690	HGNC:33738	340602	Q86X51	NA
CXXC1	ENSG00000154832	HGNC:24343	30827	Q9P0U4	609150
CXXC4	ENSG00000168772	HGNC:24593	80319	NA	611645
CXXC5	ENSG00000171604	HGNC:26943	51523	Q7LFL8	612752
CYB561	ENSG00000008283	HGNC:2571	1534	P49447	600019
CYB561A3	ENSG00000162144	HGNC:23014	220002	Q8NBI2	NA
CYB561D1	ENSG00000174151	HGNC:26804	284613	Q8N8Q1	NA
CYB561D2	ENSG00000114395	HGNC:30253	11068	O14569	607068
CYB5A	ENSG00000166347	HGNC:2570	1528	P00167	613218
CYB5B	ENSG00000103018	HGNC:24374	80777	O43169	611964
CYB5D1	ENSG00000182224	HGNC:26516	124637	Q6P9G0	NA
CYB5D2	ENSG00000167740	HGNC:28471	124936	Q8WUJ1	NA
CYB5R1	ENSG00000159348	HGNC:13397	51706	Q9UHQ9	608341
CYB5R2	ENSG00000166394	HGNC:24376	51700	Q6BCY4	608342
CYB5R3	ENSG00000100243	HGNC:2873	1727	P00387	613213
CYB5R4	ENSG00000065615	HGNC:20147	51167	Q7L1T6	608343
CYB5RL	ENSG00000215883	HGNC:32220	606495	Q6IPT4	NA
CYBA	ENSG00000051523	HGNC:2577	1535	P13498	608508
